ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearBuilt
16.0,Office,25021.0,47.66461,-122.30142,NORTHEAST,1.0,2,Small and Mid-Sized Office,20384,0,20384,Lisa Li Building,None,0.0,None,0.0,1989
76.0,Residence Hall/Dormitory,63934.0,47.6079,-122.33266,DOWNTOWN,1.0,9,Residence Hall,107572,0,107572,Women's Residence at Seneca,Office,27143.0,Retail Store,10568.0,1913
83.0,K-12 School,44340.0,47.61395,-122.31253,CENTRAL,1.0,2,K-12 School,36825,0,36825,Seattle Temple,Worship Facility,10415.0,Social/Meeting Hall,4925.0,1951
82.0,Worship Facility,62400.0,47.6645,-122.31224,NORTHEAST,1.0,2,Worship Facility,78401,0,78401,University Christian Church,Office,9940.0,K-12 School,4960.0,1927
19.0,Retail Store,40793.0,47.52254,-122.36627,DELRIDGE,1.0,1,Retail Store,40265,0,40265,Westwood Village - Building E,None,0.0,None,0.0,1990
1.0,Other,106003.0,47.63108,-122.32746,LAKE UNION,1.0,3,Other,106003,63782,169785,1241 Eastlake - Zymogenetics,Parking,63782.0,None,0.0,1920
40.0,Fitness Center/Health Club/Gym,45000.0,47.61674,-122.30207,CENTRAL,1.0,1,Other,45000,0,45000,Meredith Mathews East Madison YMCA,Swimming Pool,0.0,None,0.0,1991
40.0,Office,31500.0,47.59639,-122.33368,DOWNTOWN,1.0,7,Small and Mid-Sized Office,36000,0,36000,Fobes Building - 562,None,0.0,None,0.0,1909
54.0,Worship Facility,21022.0,47.68576,-122.35481,NORTHWEST,1.0,2,Worship Facility,21022,0,21022,Woodland Park Methodist Church,None,0.0,None,0.0,1922
78.0,Other - Lodging/Residential,20686.0,47.66192,-122.30998,NORTHEAST,1.0,3,Other,20686,0,20686,Kappa Alpha Theta,None,0.0,None,0.0,1924
