SiteEnergyUse(kBtu),TotalGHGEmissions
1791071.375,13.91
5572503.0,254.87
1755072.75,51.14
2462408.25,87.41
3740373.75,35.48
19155416.0,406.02
3505497.0,137.66
1682454.875,11.73
945245.625,43.84
1207504.0,42.71
3460275.5,99.15
470666.6875,19.28
2936336.25,108.05
20725996.0,530.62
317794.4063,13.09
127374.0,0.89
904236.0,6.3
3481727.5,150.23
3494929.5,92.7
19423344.0,717.93
2371358.0,36.24
5337334.0,171.64
1072151.375,12.57
1324092.125,51.1
3528086.75,66.77
6963616.5,49.28
1544193.75,15.5
19248732.0,477.85
2241280.5,15.62
2303732.75,16.06
2701833.75,78.57
2559461.75,77.04
716279.6875,4.99
7265178.0,231.53
5402181.0,134.82
608359.6875,25.24
1967476.375,71.06
5792926.0,40.38
1610794.75,59.0
431390.4063,17.38
15878689.0,110.7
19295226.0,249.09
495481.0,3.45
689803.0,21.87
1345025.75,28.81
904059.875,6.3
1011667.5,13.71
858780.625,14.9
1403094.75,30.22
4448582.5,129.39
22394416.0,454.49
942415.1875,6.76
5328051.5,256.57
5758795.0,176.14
16016644.0,691.26
39364116.0,1000.06
3767135.0,148.55
987063.6875,11.18
1847401.0,58.67
6197825.0,208.26
1295685.75,29.18
774075.6875,26.56
2646879.0,78.85
7798464.0,273.91
16540550.0,147.82
3009967.0,62.94
2799595.0,122.0
68090728.0,1990.5
17463744.0,163.19
6778694.0,63.61
7548807.0,225.69
3518459.5,74.83
6782435.0,235.26
1088556.25,7.59
8521989.0,286.33
1424157.25,38.78
509836.1875,21.93
1686262.25,61.3
4841347.5,59.19
7851334.5,61.93
405062.0,2.82
6962073.0,48.54
8915523.0,119.92
2497942.75,46.9
0.0,4.19
11688601.0,162.45
834711.875,5.82
930611.875,48.65
4991360.5,34.9
2827772.75,44.89
6758565.5,169.06
1145535.75,36.43
873577.3125,15.11
421430.0,2.94
3050455.25,73.52
3020001.5,21.05
3537841.5,116.94
726917.5,5.07
6876439.5,47.94
1811506.375,13.16
2556131.0,94.85
4897760.0,34.14
3785282.5,26.39
2839882.25,61.68
1167887.75,40.85
24224888.0,168.88
5252131.0,36.61
1730600.625,34.26
378714.4063,2.64
1544995.75,47.03
9474745.0,243.66
1111293.75,43.04
2686765.0,34.15
6357632.0,44.32
561473.875,23.52
0.0,13.64
2852102.75,19.88
14751117.0,130.32
1735995.75,67.45
1628540.0,67.05
14856199.0,103.57
1139980.625,38.87
13962749.0,284.01
19459304.0,526.85
284857.3125,8.59
4236396.5,67.96
1857154.75,74.92
5155090.5,127.1
651293.3125,18.85
22325364.0,648.62
2844685.0,119.34
2654316.0,18.5
0.0,14.67
1554599.25,37.83
7857972.5,54.78
1245923.75,62.23
1426279.5,35.96
3484915.5,24.29
36436388.0,1154.79
11147342.0,406.04
720170.6875,5.02
478690.0938,3.34
5514308.5,116.74
431471.6875,11.54
10234721.0,348.22
468396.9063,9.25
2332996.5,83.1
657385.8125,4.58
3459543.0,24.12
1280263.75,42.45
5284343.5,144.79
1818867.875,30.32
1429855.75,40.01
177812.7969,1.24
14293972.0,384.27
222255.9063,1.55
1213869.75,55.3
9343428.0,119.93
1261634.5,27.41
1791715.625,48.5
2017967.75,46.44
4302455.5,175.53
1176342.25,39.05
1638691.625,61.25
931148.625,6.49
6335315.5,107.29
439065.9063,3.06
867184.375,30.22
2619088.5,55.85
3497215.5,24.38
8873485.0,61.86
2070005.625,82.07
1331122.125,45.38
1987934.625,13.86
29949248.0,208.79
1441900.5,41.69
0.0,229.38
2595783.5,106.45
3377209.75,29.54
1377627.0,72.88
2925780.0,67.65
20675922.0,259.49
786253.6875,29.24
1594422.5,51.56
1601955.625,35.72
412562.4063,2.88
2450442.75,17.08
25307744.0,176.43
1794187.25,46.93
2951331.25,83.86
114648520.0,3243.48
3978277.0,132.6
1137967.5,13.29
3903259.75,51.67
1000796.875,33.18
636965.5,4.44
1632472.0,11.38
1972078.625,13.75
1634178.25,14.13
19397324.0,135.23
826488.6875,22.38
1832031.5,83.3
12525174.0,0.0
8268496.5,249.46
1758134.625,40.42
331675.0,7.07
7429423.0,86.51
1396082.25,41.8
7258758.5,262.75
2833624.5,112.82
53079164.0,588.9
6668568.5,215.0
966907.375,32.09
1162561.125,28.64
4590246.5,174.62
1047461.0,32.22
770333.0,32.63
3204685.5,67.52
104722.2969,0.73
14512786.0,277.98
1152896.25,41.27
14833476.0,301.76
2284133.75,49.12
4757299.5,33.17
162960.0,1.14
602245.0,4.2
3663534.5,90.01
1900006.25,13.25
520011.8125,14.81
4416909.5,30.79
2096835.5,89.29
776248.6875,5.41
402051.3125,2.8
1063035.875,18.62
8025696.0,176.75
3646053.75,58.79
3238216.0,22.57
3768900.5,50.05
8687690.0,206.33
1211349.25,8.44
763364.5,5.32
387810.0,7.79
25567108.0,182.14
8138616.5,282.46
8800292.0,328.97
2720238.25,77.84
1257774.625,8.77
6118300.5,210.3
6186461.5,130.56
12029600.0,260.13
954352.6875,24.97
1623657.0,11.32
859236.625,24.02
9941308.0,69.3
1636649.125,29.62
727385.8125,5.07
9230223.0,369.14
817409.625,6.53
2756214.75,117.11
1608884.25,37.61
600516.875,19.77
1144267.5,7.98
1126157.25,28.09
2729167.75,23.48
1832808.75,44.33
1567746.75,46.16
5447076.5,37.97
3375211.0,87.98
5803409.0,40.46
8839812.0,219.93
4970047.0,207.6
27717034.0,723.47
1028277.313,34.61
8651835.0,85.01
1560461.75,33.78
1471914.25,10.26
28450436.0,198.34
2771820.5,124.4
9851260.0,260.32
12731388.0,133.5
418348.5,2.92
1362523.0,63.48
4475650.0,101.99
3686962.25,150.88
0.0,16.36
2028125.625,63.22
4262316.5,93.5
1951856.25,13.61
2442220.0,41.96
7475577.5,204.08
1063960.125,18.87
4322873.0,141.2
7070998.5,49.29
2545405.0,28.41
9373179.0,309.6
2053956.375,85.15
41213584.0,287.32
1567040.75,10.92
17750994.0,246.83
56606136.0,530.18
2178074.5,76.8
8218155.5,91.13
69519808.0,546.65
1903455.875,13.27
873221.875,6.09
270838.5,9.71
8163413.0,298.91
2409429.0,67.29
2485521.0,41.06
269016.6875,2.25
4581493.0,42.2
1436510.375,20.3
998633.5,6.96
1799402.75,41.68
6836900.0,152.76
17867002.0,130.73
2547848.0,30.6
14436982.0,100.65
5475367.0,38.17
2147968.25,120.91
1356874.75,62.05
392683.6875,10.99
42709624.0,1032.63
2805826.0,19.56
545426.375,3.8
4748137.0,80.08
5392617.5,74.45
3936421.5,82.57
928584.875,9.65
28053172.0,487.53
2331952.75,89.08
983595.875,17.12
1632498.625,60.83
188745.7031,7.05
24395228.0,587.16
17880184.0,128.73
3570161.75,24.89
2235765.5,44.26
1881516.125,61.98
1286817.375,8.97
2991674.75,20.86
1268459.0,43.63
655422.375,19.61
5827595.5,162.39
2058532.875,14.35
576174.125,4.02
608755.375,28.78
3220635.25,22.65
1929851.5,49.18
9363374.0,176.75
736428.625,32.77
1536998.25,10.72
33556756.0,802.89
2100097.75,69.44
1662054.125,22.76
935580.3125,38.86
3476212.5,48.76
56485204.0,2573.75
1806468.0,12.59
2339234.0,64.75
336745.4063,2.35
3605749.75,25.14
2491238.25,43.17
227566.7031,8.15
30985420.0,359.11
3626431.5,95.93
16402563.0,609.1
11410228.0,106.12
8580279.0,222.19
0.0,265.21
2853189.5,19.89
523614.0938,8.7
11343686.0,388.04
1252323.875,8.73
436604.0938,3.04
4817062.0,33.58
3321603.0,130.58
5094197.0,74.31
923812.8125,10.8
9134963.0,162.41
1267463.125,8.84
1164537.75,23.5
10287986.0,157.48
161363.4063,1.12
666687.5,20.96
1748444.25,37.08
90558.70313,0.63
1933811.625,57.59
18576900.0,213.23
1372213.375,35.77
25631512.0,710.7
