LargestPropertyUseType,Neighborhood,PrimaryPropertyType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,PropertyGFATotal,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,YearBuilt,SiteEnergyUse(kBtu),TotalGHGEmissions
Hotel,DOWNTOWN,Hotel,None,None,88434.0,88434,0.0,0.0,60.0,47.6122,-122.33799,1.0,12,88434,0,1927,7226362.5,249.98
Hotel,DOWNTOWN,Hotel,Parking,Restaurant,83880.0,103566,15064.0,4622.0,61.0,47.61317,-122.33393,1.0,11,88502,15064,1996,8387933.0,295.86
Hotel,DOWNTOWN,Hotel,None,None,756493.0,956110,0.0,0.0,43.0,47.61393,-122.3381,1.0,41,759392,196718,1969,72587024.0,2089.28
Hotel,DOWNTOWN,Hotel,None,None,61320.0,61320,0.0,0.0,56.0,47.61412,-122.33664,1.0,10,61320,0,1926,6794584.0,286.43
Hotel,DOWNTOWN,Hotel,Parking,Swimming Pool,123445.0,175580,68009.0,0.0,75.0,47.61375,-122.34047,1.0,18,113580,62000,1980,14172606.0,505.01
Police Station,DOWNTOWN,Other,None,None,88830.0,97288,0.0,0.0,,47.61623,-122.33657,1.0,2,60090,37198,1999,12086616.0,301.81
Hotel,DOWNTOWN,Hotel,None,None,81352.0,83008,0.0,0.0,27.0,47.6139,-122.33283,1.0,11,83008,0,1926,5758795.0,176.14
Other - Entertainment/Public Assembly,DOWNTOWN,Other,None,None,102761.0,102761,0.0,0.0,,47.61327,-122.33136,1.0,8,102761,0,1926,6298131.5,221.51
Hotel,DOWNTOWN,Hotel,None,None,163984.0,163984,0.0,0.0,43.0,47.60294,-122.33263,1.0,15,163984,0,1904,13723820.0,392.16
Hotel,DOWNTOWN,Hotel,None,None,133884.0,153163,0.0,0.0,30.0,47.60695,-122.33414,1.0,11,133884,19279,1969,16016644.0,691.26
Hotel,DOWNTOWN,Hotel,None,None,336640.0,333176,0.0,0.0,36.0,47.60713,-122.33323,1.0,25,272015,61161,1998,26941110.0,740.97
Hotel,DOWNTOWN,Hotel,None,None,65009.0,65009,0.0,0.0,48.0,47.60699,-122.33346,1.0,9,65009,0,1928,6596057.5,328.23
Hotel,DOWNTOWN,Hotel,Parking,None,295511.0,315952,57600.0,0.0,58.0,47.60809,-122.33212,1.0,33,258352,57600,1980,22325364.0,648.62
Hotel,DOWNTOWN,Hotel,Parking,None,67390.0,92190,25200.0,0.0,35.0,47.60755,-122.33244,1.0,11,66990,25200,1922,10750010.0,511.39
Library,DOWNTOWN,Other,Parking,Data Center,364913.0,412000,49000.0,1074.0,,47.60649,-122.33297,1.0,11,355000,57000,2004,18588860.0,181.38
Fitness Center/Health Club/Gym,DOWNTOWN,Other,Office,Swimming Pool,90000.0,103911,40000.0,0.0,,47.60546,-122.33279,1.0,6,103911,0,1930,9956396.0,433.86
Hotel,DOWNTOWN,Hotel,Parking,None,348329.0,416281,85000.0,0.0,31.0,47.60681,-122.33078,1.0,28,331281,85000,1983,33556756.0,802.89
Social/Meeting Hall,DOWNTOWN,Mixed Use Property,Restaurant,Office,16442.0,57452,15505.0,9741.0,,47.60515,-122.33159,1.0,5,57452,0,1907,7606084.5,273.02
